county_name,year,month,birth_count
mcclain,95,3,24
mcclain,95,4,18
mcclain,95,5,27
mcclain,95,6,26
mcclain,95,7,30
mcclain,95,8,30
mcclain,95,9,19
mcclain,95,10,28
mcclain,95,11,27
mcclain,95,12,20
mcclain,96,1,25
mcclain,96,2,16
mcclain,96,3,16
mcclain,96,4,27
mcclain,96,5,26
mcclain,96,6,27
mcclain,96,7,25
mcclain,96,8,32
mcclain,96,9,24
mcclain,96,10,25
mcclain,96,11,25
mcclain,96,12,21
mcclain,97,1,20
mcclain,97,2,28
mcclain,97,3,18
mcclain,97,4,23
mcclain,97,5,29
mcclain,97,6,28
mcclain,97,7,35
mcclain,97,8,22
mcclain,97,9,22
mcclain,97,10,23
mcclain,97,11,33
mcclain,97,12,38
mcclain,98,1,22
mcclain,98,2,40
mcclain,98,3,29
mcclain,98,4,32
mcclain,98,5,33
mcclain,98,6,36
mcclain,98,7,18
mcclain,98,8,31
mcclain,98,9,20
mcclain,98,10,36
mcclain,98,11,28
mcclain,98,12,31
mcclain,99,1,30
mcclain,99,2,24
mcclain,99,3,29
mcclain,99,4,26
mcclain,99,5,26
mcclain,99,6,28
mcclain,99,7,29
mcclain,99,8,35
mcclain,99,9,36
mcclain,99,10,34
mcclain,99,11,34
mcclain,99,12,36
oklahoma,85,1,983
oklahoma,85,2,852
oklahoma,85,3,929
oklahoma,85,4,932
oklahoma,85,5,949
oklahoma,85,6,917
oklahoma,85,7,1075
oklahoma,85,8,1133
oklahoma,85,9,1018
oklahoma,85,10,971
oklahoma,85,11,916
oklahoma,85,12,922
oklahoma,86,1,884
oklahoma,86,2,842
oklahoma,86,3,912
oklahoma,86,4,869
oklahoma,86,5,912
oklahoma,86,6,888
oklahoma,86,7,926
oklahoma,86,8,931
oklahoma,86,9,974
oklahoma,86,10,955
oklahoma,86,11,836
oklahoma,86,12,915
oklahoma,87,1,780
oklahoma,87,2,840
oklahoma,87,3,840
oklahoma,87,4,846
oklahoma,87,5,793
oklahoma,87,6,842
oklahoma,87,7,893
oklahoma,87,8,900
oklahoma,87,9,864
oklahoma,87,10,834
oklahoma,87,11,759
oklahoma,87,12,853
oklahoma,88,1,833
oklahoma,88,2,810
oklahoma,88,3,832
oklahoma,88,4,812
oklahoma,88,5,856
oklahoma,88,6,858
oklahoma,88,7,885
oklahoma,88,8,927
oklahoma,88,9,851
oklahoma,88,10,857
oklahoma,88,11,814
oklahoma,88,12,811
oklahoma,89,1,846
oklahoma,89,2,819
oklahoma,89,3,868
oklahoma,89,4,820
oklahoma,89,5,829
oklahoma,89,6,830
oklahoma,89,7,870
oklahoma,89,8,949
oklahoma,89,9,882
oklahoma,89,10,868
oklahoma,89,11,819
oklahoma,89,12,852
oklahoma,90,1,853
oklahoma,90,2,758
oklahoma,90,3,886
oklahoma,90,4,871
oklahoma,90,5,822
oklahoma,90,6,834
oklahoma,90,7,856
oklahoma,90,8,861
oklahoma,90,9,844
oklahoma,90,10,880
oklahoma,90,11,813
oklahoma,90,12,799
oklahoma,91,1,862
oklahoma,91,2,728
oklahoma,91,3,778
oklahoma,91,4,849
oklahoma,91,5,865
oklahoma,91,6,780
oklahoma,91,7,906
oklahoma,91,8,913
oklahoma,91,9,898
oklahoma,91,10,929
oklahoma,91,11,783
oklahoma,91,12,869
oklahoma,92,1,827
oklahoma,92,2,795
oklahoma,92,3,846
oklahoma,92,4,820
oklahoma,92,5,823
