"fips","county_name","year","month","fecund_population","birth_count","date","days_in_month","days_in_year","stage_id","birth_rate_monthly","birth_rate"
"40031","comanche",1991,3,25890,164,1991-03-15,31,365,1,6.3977529843177,75.3283819121278
"40031","comanche",1991,4,26056,158,1991-04-15,30,365,1,6.1636888507451,74.9915476840654
"40031","comanche",1991,5,26221,214,1991-05-15,31,365,1,8.34828743075603,98.2943520072887
"40031","comanche",1991,6,26386,162,1991-06-15,30,365,1,6.31973160646017,76.8900678785987
"40031","comanche",1991,7,26552,153,1991-07-15,31,365,1,5.96863540610127,70.2758684911924
"40031","comanche",1991,8,26717,165,1991-08-15,31,365,1,6.43676367324647,75.787701314031
"40031","comanche",1991,9,26882,164,1991-09-15,30,365,1,6.3977529843177,77.8393279758654
"40031","comanche",1991,10,27048,152,1991-10-15,31,365,1,5.9296247171725,69.8165490892892
"40031","comanche",1991,11,27213,136,1991-11-15,30,365,1,5.30545369431224,64.5496866141323
"40031","comanche",1991,12,27378,167,1991-12-15,31,365,1,6.514785051104,76.7063401178375
"40031","comanche",1992,1,27544,233,1992-01-15,31,366,1,9.08949052040259,107.314630015076
"40031","comanche",1992,2,27503,237,1992-02-15,29,366,1,9.24553327611766,116.68500617445
"40031","comanche",1992,3,27461,190,1992-03-15,31,366,1,7.41203089646563,87.5097841324652
"40031","comanche",1992,4,27421,192,1992-04-15,30,366,1,7.49005227432316,91.3786377467426
"40031","comanche",1992,5,27380,184,1992-05-15,31,366,1,7.17796676289303,84.7463172651242
"40031","comanche",1992,6,27338,193,1992-06-15,30,366,1,7.52906296325193,91.8545681516736
"40031","comanche",1992,7,27298,177,1992-07-15,31,366,1,6.90489194039167,81.5222725865597
"40031","comanche",1992,8,27257,241,1992-08-15,31,366,1,9.40157603183272,110.999252504864
"40031","comanche",1992,9,27215,221,1992-09-15,30,366,1,8.62136225325739,105.18061948974
"40031","comanche",1992,10,27175,203,1992-10-15,31,366,1,7.9191698525396,93.4972956783707
"40031","comanche",1992,11,27134,209,1992-11-15,30,366,1,8.15323398611219,99.4694546305688
"40031","comanche",1992,12,27092,199,1992-12-15,31,366,1,7.76312709682453,91.6549844334767
"40031","comanche",1993,1,27052,195,1993-01-15,31,365,1,7.60708434110946,89.5672833711275
"40031","comanche",1993,2,27042,175,1993-02-15,28,365,1,6.82687056253413,88.9931341187485
"40031","comanche",1993,3,27032,197,1993-03-15,31,365,1,7.685105718967,90.485922174934
"40031","comanche",1993,4,27022,187,1993-04-15,30,365,1,7.29499882967933,88.7558190944319
"40031","comanche",1993,5,27012,177,1993-05-15,31,365,1,6.90489194039167,81.2995341368696
"40031","comanche",1993,6,27002,176,1993-06-15,30,365,1,6.8658812514629,83.5348885594653
"40031","comanche",1993,7,26992,180,1993-07-15,31,365,1,7.02192400717797,82.6774923425793
"40031","comanche",1993,8,26982,205,1993-08-15,31,365,1,7.99719123039713,94.1604773901598
"40031","comanche",1993,9,26972,199,1993-09-15,30,365,1,7.76312709682453,94.4513796780318
"40031","comanche",1993,10,26962,191,1993-10-15,31,365,1,7.4510415853944,87.7300057635147
"40031","comanche",1993,11,26952,163,1993-11-15,30,365,1,6.35874229538894,77.3646979272321
"40031","comanche",1993,12,26942,163,1993-12-15,31,365,1,6.35874229538894,74.8690625102246
"40031","comanche",1994,1,26933,192,1994-01-15,31,365,1,7.49005227432316,88.1893251654179
